;start;stop;termik1Motor;termik2Motor;motor1anaKontaktör;motor1yildizKontaktor;motor1ucgenKontaktor;motor2anaKontaktör;motor2yildizKontaktor;motor2ucgenKontaktor;sistemHazyrLambasy;motor1yildizUcgenGecisZaman;motor2yildizUcgenGecisZaman
zaman;M0.0;M0.1;M0.2;M0.3;Q0.0;Q0.1;Q0.2;Q0.3;Q0.4;Q0.5;Q0.6;MD100;MD104
10:09:54.463;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:54.630;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:54.764;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:54.887;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:55.030;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:55.157;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:55.309;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:55.449;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:55.571;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:55.727;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:55.855;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:55.973;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:56.117;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:56.232;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:56.370;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:56.604;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:56.812;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:56.996;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:57.146;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:57.329;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:57.496;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:57.670;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:57.840;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:57.967;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:58.126;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:58.296;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:58.397;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:58.543;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:58.776;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:58.937;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:59.059;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:59.163;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:59.286;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:59.382;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:59.479;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:59.631;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:59.733;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:59.860;0;0;0;0;0;0;0;0;0;0;0;0;0
10:09:59.961;0;0;0;0;0;0;0;0;0;0;0;0;0
10:10:00.102;0;0;0;0;0;0;0;0;0;0;0;0;0
10:10:00.222;0;0;0;0;0;0;0;0;0;0;0;0;0
10:10:00.319;0;0;0;0;0;0;0;0;0;0;0;0;0
10:10:00.425;0;0;0;0;0;0;0;0;0;0;0;0;0
10:10:00.554;0;0;0;0;0;0;0;0;0;0;0;0;0
10:10:00.658;0;0;0;0;0;0;0;0;0;0;0;0;0
10:10:00.772;0;0;0;0;0;0;0;0;0;0;0;0;0
10:10:00.880;0;0;0;0;0;0;0;0;0;0;0;0;0
10:10:01.008;0;0;0;0;0;0;0;0;0;0;0;0;0
10:10:01.138;0;0;0;0;0;0;0;0;0;0;0;0;0
10:10:01.292;1;0;0;0;1;1;0;0;0;0;0;110;0
10:10:01.465;1;0;0;0;1;1;0;0;0;0;0;282;0
10:10:01.683;1;0;0;0;1;1;0;0;0;0;0;492;0
10:10:01.839;1;0;0;0;1;1;0;0;0;0;0;638;0
10:10:01.935;1;0;0;0;1;1;0;0;0;0;0;734;0
10:10:02.054;1;0;0;0;1;1;0;0;0;0;0;854;0
10:10:02.141;1;0;0;0;1;1;0;0;0;0;0;947;0
10:10:02.246;1;0;0;0;1;1;0;0;0;0;0;1043;0
10:10:02.332;1;0;0;0;1;1;0;0;0;0;0;1137;0
10:10:02.436;1;0;0;0;1;1;0;0;0;0;0;1233;0
10:10:02.552;1;0;0;0;1;1;0;0;0;0;0;1369;0
10:10:02.669;1;0;0;0;1;1;0;0;0;0;0;1467;0
10:10:02.760;1;0;0;0;1;1;0;0;0;0;0;1574;0
10:10:02.868;1;0;0;0;1;1;0;0;0;0;0;1681;0
10:10:02.998;1;0;0;0;1;1;0;0;0;0;0;1798;0
10:10:03.136;1;0;0;0;1;1;0;0;0;0;0;1936;0
10:10:03.268;1;0;0;0;1;1;0;0;0;0;0;2068;0
10:10:03.390;1;0;0;0;1;1;0;0;0;0;0;2187;0
10:10:03.502;1;0;0;0;1;1;0;0;0;0;0;2307;0
10:10:03.628;1;0;0;0;1;1;0;0;0;0;0;2425;0
10:10:03.746;1;0;0;0;1;1;0;0;0;0;0;2562;0
10:10:03.859;1;0;0;0;1;1;0;0;0;0;0;2656;0
10:10:03.953;1;0;0;0;1;1;0;0;0;0;0;2750;0
10:10:04.041;1;0;0;0;1;1;0;0;0;0;0;2838;0
10:10:04.167;1;0;0;0;1;1;0;0;0;0;0;2976;0
10:10:04.262;1;0;0;0;1;1;0;0;0;0;0;3070;0
10:10:04.375;1;0;0;0;1;1;0;0;0;0;0;3176;0
10:10:04.477;1;0;0;0;1;1;0;0;0;0;0;3280;0
10:10:04.587;1;0;0;0;1;1;0;0;0;0;0;3387;0
10:10:04.728;1;0;0;0;1;1;0;0;0;0;0;3533;0
10:10:04.831;0;0;0;0;1;1;0;0;0;0;0;3642;0
10:10:04.945;0;0;0;0;1;1;0;0;0;0;0;3769;0
10:10:05.057;0;0;0;0;1;1;0;0;0;0;0;3892;0
10:10:05.212;0;0;0;0;1;0;1;1;1;0;0;0;14
10:10:05.304;0;0;0;0;1;0;1;1;1;0;0;0;123
10:10:05.421;0;0;0;0;1;0;1;1;1;0;0;0;220
10:10:05.505;0;0;0;0;1;0;1;1;1;0;0;0;326
10:10:05.640;0;0;0;0;1;0;1;1;1;0;0;0;438
10:10:05.726;0;0;0;0;1;0;1;1;1;0;0;0;537
10:10:05.839;0;0;0;0;1;0;1;1;1;0;0;0;657
10:10:05.943;0;0;0;0;1;0;1;1;1;0;0;0;750
10:10:06.038;0;0;0;0;1;0;1;1;1;0;0;0;833
10:10:06.148;0;0;0;0;1;0;1;1;1;0;0;0;950
10:10:06.244;0;0;0;0;1;0;1;1;1;0;0;0;1044
10:10:06.337;0;0;0;0;1;0;1;1;1;0;0;0;1133
10:10:06.441;0;0;0;0;1;0;1;1;1;0;0;0;1242
10:10:06.554;0;0;0;0;1;0;1;1;1;0;0;0;1361
10:10:06.665;0;0;0;0;1;0;1;1;1;0;0;0;1481
10:10:06.777;0;0;0;0;1;0;1;1;1;0;0;0;1575
10:10:06.879;0;0;0;0;1;0;1;1;1;0;0;0;1697
10:10:06.999;0;0;0;0;1;0;1;1;1;0;0;0;1822
10:10:07.135;0;0;0;0;1;0;1;1;1;0;0;0;1931
10:10:07.229;0;0;0;0;1;0;1;1;1;0;0;0;2051
10:10:07.350;0;0;0;0;1;0;1;1;1;0;0;0;2152
10:10:07.455;0;0;0;0;1;0;1;1;1;0;0;0;2254
10:10:07.546;0;0;0;0;1;0;1;1;1;0;0;0;2347
10:10:07.686;0;0;0;0;1;0;1;1;1;0;0;0;2514
10:10:07.809;0;0;0;0;1;0;1;1;1;0;0;0;2607
10:10:07.919;0;0;0;0;1;0;1;1;1;0;0;0;2721
10:10:08.019;0;0;0;0;1;0;1;1;1;0;0;0;2826
10:10:08.123;0;0;0;0;1;0;1;1;1;0;0;0;2922
10:10:08.233;0;0;0;0;1;0;1;1;1;0;0;0;3031
10:10:08.327;0;0;0;0;1;0;1;1;1;0;0;0;3138
10:10:08.449;0;0;0;0;1;0;1;1;1;0;0;0;3249
10:10:08.540;0;0;0;0;1;0;1;1;1;0;0;0;3354
10:10:08.678;0;0;0;0;1;0;1;1;1;0;0;0;3479
10:10:08.778;0;0;0;0;1;0;1;1;1;0;0;0;3585
10:10:08.884;0;0;0;0;1;0;1;1;1;0;0;0;3686
10:10:08.998;0;0;0;0;1;0;1;1;1;0;0;0;3796
10:10:09.091;0;0;0;0;1;0;1;1;1;0;0;0;3907
10:10:09.229;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:09.327;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:09.449;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:09.540;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:09.667;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:09.762;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:09.886;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:09.988;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:10.092;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:10.210;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:10.308;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:10.430;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:10.531;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:10.652;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:10.764;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:10.880;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:10.977;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:11.079;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:11.190;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:11.300;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:11.394;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:11.507;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:11.604;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:11.711;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:11.835;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:11.953;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:12.048;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:12.194;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:12.325;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:12.436;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:12.570;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:12.683;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:12.786;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:12.925;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:13.057;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:13.168;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:13.267;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:13.402;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:13.501;0;0;0;0;1;0;1;1;0;1;1;0;0
10:10:13.666;0;0;0;0;1;0;1;1;0;1;1;0;0
