"Yayınlandığı Tarih","Yayınlandığı Gün","Geçerli Olduğu Tarih","Geçerli Olduğu Gün","Kur","Döviz Alış","Döviz Satış"
16.04.2018,Pazartesi,17.04.2018,Sali,USD,4.0960,4.1034
17.04.2018,Sali,18.04.2018,Carsamba,USD,4.0980,4.1054
18.04.2018,Carsamba,19.04.2018,Persembe,USD,4.0964,4.1038
19.04.2018,Persembe,20.04.2018,Cuma,USD,4.0273,4.0345
20.04.2018,Cuma,21.04.2018,Cumartesi,USD,4.0332,4.0405
20.04.2018,Cuma,22.04.2018,Pazar,USD,4.0332,4.0405
20.04.2018,Cuma,23.04.2018,Pazartesi,USD,4.0332,4.0405
20.04.2018,Cuma,24.04.2018,Sali,USD,4.0332,4.0405
24.04.2018,Sali,25.04.2018,Carsamba,USD,4.0848,4.0922
25.04.2018,Carsamba,26.04.2018,Persembe,USD,4.0758,4.0832
26.04.2018,Persembe,27.04.2018,Cuma,USD,4.0668,4.0742
27.04.2018,Cuma,28.04.2018,Cumartesi,USD,4.0535,4.0608
27.04.2018,Cuma,29.04.2018,Pazar,USD,4.0535,4.0608
27.04.2018,Cuma,30.04.2018,Pazartesi,USD,4.0535,4.0608
30.04.2018,Pazartesi,01.05.2018,Sali,USD,4.0399,4.0472
30.04.2018,Pazartesi,02.05.2018,Carsamba,USD,4.0399,4.0472
02.05.2018,Carsamba,03.05.2018,Persembe,USD,4.1208,4.1282
03.05.2018,Persembe,04.05.2018,Cuma,USD,4.1908,4.1984
04.05.2018,Cuma,05.05.2018,Cumartesi,USD,4.2550,4.2626
04.05.2018,Cuma,06.05.2018,Pazar,USD,4.2550,4.2626
04.05.2018,Cuma,07.05.2018,Pazartesi,USD,4.2550,4.2626
07.05.2018,Pazartesi,08.05.2018,Sali,USD,4.2558,4.2635
08.05.2018,Sali,09.05.2018,Carsamba,USD,4.2817,4.2894
09.05.2018,Carsamba,10.05.2018,Persembe,USD,4.2878,4.2955
10.05.2018,Persembe,11.05.2018,Cuma,USD,4.2666,4.2743
11.05.2018,Cuma,12.05.2018,Cumartesi,USD,4.2572,4.2648
11.05.2018,Cuma,13.05.2018,Pazar,USD,4.2572,4.2648
11.05.2018,Cuma,14.05.2018,Pazartesi,USD,4.2572,4.2648
14.05.2018,Pazartesi,15.05.2018,Sali,USD,4.3200,4.3278
15.05.2018,Sali,16.05.2018,Carsamba,USD,4.3945,4.4024
16.05.2018,Carsamba,17.05.2018,Persembe,USD,4.4581,4.4662
17.05.2018,Persembe,18.05.2018,Cuma,USD,4.4402,4.4482
18.05.2018,Cuma,19.05.2018,Cumartesi,USD,4.4652,4.4732
18.05.2018,Cuma,20.05.2018,Pazar,USD,4.4652,4.4732
18.05.2018,Cuma,21.05.2018,Pazartesi,USD,4.4652,4.4732
21.05.2018,Pazartesi,22.05.2018,Sali,USD,4.5534,4.5616
22.05.2018,Sali,23.05.2018,Carsamba,USD,4.5781,4.5863
23.05.2018,Carsamba,24.05.2018,Persembe,USD,4.8464,4.8551
24.05.2018,Persembe,25.05.2018,Cuma,USD,4.7028,4.7112
25.05.2018,Cuma,26.05.2018,Cumartesi,USD,4.7207,4.7292
25.05.2018,Cuma,27.05.2018,Pazar,USD,4.7207,4.7292
25.05.2018,Cuma,28.05.2018,Pazartesi,USD,4.7207,4.7292
28.05.2018,Pazartesi,29.05.2018,Sali,USD,4.5966,4.6048
29.05.2018,Sali,30.05.2018,Carsamba,USD,4.5962,4.6045
30.05.2018,Carsamba,31.05.2018,Persembe,USD,4.4834,4.4914
31.05.2018,Persembe,01.06.2018,Cuma,USD,4.4808,4.4889
01.06.2018,Cuma,02.06.2018,Cumartesi,USD,4.5922,4.6005
01.06.2018,Cuma,03.06.2018,Pazar,USD,4.5922,4.6005
01.06.2018,Cuma,04.06.2018,Pazartesi,USD,4.5922,4.6005
04.06.2018,Pazartesi,05.06.2018,Sali,USD,4.6284,4.6367
05.06.2018,Sali,06.06.2018,Carsamba,USD,4.6073,4.6156
06.06.2018,Carsamba,07.06.2018,Persembe,USD,4.6095,4.6178
07.06.2018,Persembe,08.06.2018,Cuma,USD,4.5489,4.5571
08.06.2018,Cuma,09.06.2018,Cumartesi,USD,4.5024,4.5105
08.06.2018,Cuma,10.06.2018,Pazar,USD,4.5024,4.5105
08.06.2018,Cuma,11.06.2018,Pazartesi,USD,4.5024,4.5105
11.06.2018,Pazartesi,12.06.2018,Sali,USD,4.5136,4.5217
12.06.2018,Sali,13.06.2018,Carsamba,USD,4.5491,4.5573
13.06.2018,Carsamba,14.06.2018,Persembe,USD,4.6484,4.6568
13.06.2018,Carsamba,15.06.2018,Cuma,USD,4.6484,4.6568
13.06.2018,Carsamba,16.06.2018,Cumartesi,USD,4.6484,4.6568
13.06.2018,Carsamba,17.06.2018,Pazar,USD,4.6484,4.6568
13.06.2018,Carsamba,18.06.2018,Pazartesi,USD,4.6484,4.6568
18.06.2018,Pazartesi,19.06.2018,Sali,USD,4.7151,4.7236
19.06.2018,Sali,20.06.2018,Carsamba,USD,4.7545,4.7630
20.06.2018,Carsamba,21.06.2018,Persembe,USD,4.7488,4.7573
21.06.2018,Persembe,22.06.2018,Cuma,USD,4.7524,4.7609
22.06.2018,Cuma,23.06.2018,Cumartesi,USD,4.7077,4.7162
22.06.2018,Cuma,24.06.2018,Pazar,USD,4.7077,4.7162
22.06.2018,Cuma,25.06.2018,Pazartesi,USD,4.7077,4.7162
25.06.2018,Pazartesi,26.06.2018,Sali,USD,4.6397,4.6480
26.06.2018,Sali,27.06.2018,Carsamba,USD,4.6740,4.6824
27.06.2018,Carsamba,28.06.2018,Persembe,USD,4.6349,4.6433
28.06.2018,Persembe,29.06.2018,Cuma,USD,4.6083,4.6166
29.06.2018,Cuma,30.06.2018,Cumartesi,USD,4.5607,4.5690
29.06.2018,Cuma,01.07.2018,Pazar,USD,4.5607,4.5690
29.06.2018,Cuma,02.07.2018,Pazartesi,USD,4.5607,4.5690
02.07.2018,Pazartesi,03.07.2018,Sali,USD,4.6225,4.6308
03.07.2018,Sali,04.07.2018,Carsamba,USD,4.6560,4.6644
04.07.2018,Carsamba,05.07.2018,Persembe,USD,4.6987,4.7071
05.07.2018,Persembe,06.07.2018,Cuma,USD,4.6427,4.6510
06.07.2018,Cuma,07.07.2018,Cumartesi,USD,4.6004,4.6087
